,date_ordinal,open,close,volume,low,high
247,735596,139.181,137.9008,3331833,136.9901,139.4731
248,735597,137.4799,137.5056,2829904,137.2823,138.1672
249,735598,137.8149,137.8407,4011909,137.7891,138.7514
250,735600,138.5882,139.2325,5525466,138.3218,140.3064
251,735603,138.5538,137.0417,4880389,136.7668,138.5538
252,735604,137.1792,134.0862,6146712,133.313,137.4283
253,735605,135.0571,133.2099,4701839,132.3336,135.0571
254,735606,134.2323,136.1052,4241113,133.6395,136.6413
255,735607,136.1052,136.698,4488347,135.1,137.7548
256,735610,136.6035,134.4041,4187638,133.8199,136.8183
257,735611,135.1086,134.722,4377510,133.7512,137.4369
258,735612,133.0467,133.8543,4690294,132.0844,134.4471
259,735613,134.6189,132.7975,4251723,132.4453,134.8595
260,735614,132.1532,135.0055,5756041,132.1532,135.4265
261,735618,134.6275,134.8423,8392773,132.3336,135.1688
262,735619,131.4745,130.6669,11897123,129.7905,132.7374
263,735620,130.538,133.502,6120113,130.3833,133.7855
264,735621,133.1927,133.9144,4834847,133.0725,135.4007
265,735624,135.9678,134.3354,7888143,133.8285,136.9987
266,735625,133.1154,132.0243,5659568,131.0964,133.2443
267,735626,132.3078,130.2029,4495933,130.2029,132.7632
268,735627,130.0569,133.5794,8320847,128.4589,133.6653
269,735628,132.2305,131.715,6563570,131.483,133.3732
270,735631,132.3078,132.8749,4712247,130.1686,132.8749
271,735632,132.9522,136.1482,5539406,132.9522,136.2599
272,735633,135.0657,134.8509,3678459,134.6275,136.3544
273,735634,135.1344,135.6671,5253637,135.0142,136.2513
274,735635,136.1256,135.5892,3256452,135.1653,136.7658
275,735638,134.9663,134.75,3057726,134.4472,136.264
276,735639,135.6065,137.1811,4440614,134.1703,137.1811
277,735640,136.489,136.8697,3626658,135.9785,137.6397
278,735641,137.3195,137.1465,3333063,136.7745,137.9944
279,735642,137.3714,138.773,3706919,137.2503,139.1191
280,735646,138.2107,139.2575,2894508,138.1934,139.6468
281,735647,140.0362,140.3217,4358385,138.9807,140.5639
282,735648,140.2005,141.7925,3504380,139.6728,142.3116
283,735649,141.5762,141.5848,3352982,140.2352,142.1818
284,735652,142.0866,140.9446,2714434,140.5899,142.2337
285,735653,140.5812,142.6057,4701626,139.7334,142.7441
286,735654,142.7009,140.8581,4004559,140.6591,142.7182
287,735655,141.6627,139.1797,7110772,138.228,142.0087
288,735656,139.3354,140.1054,4410037,138.5654,140.4082
289,735659,139.8804,138.8422,5917862,138.2627,140.0621
290,735660,138.6606,139.3181,3234401,138.427,139.941
291,735661,138.8941,137.9252,3633635,137.3195,138.9114
292,735662,138.3058,139.4479,3791660,138.17,139.7247
293,735663,138.5913,137.1292,4540174,136.7485,139.6728
294,735666,136.8697,139.0931,5193874,136.8697,139.4219
295,735667,138.0809,136.5322,4600968,136.5322,138.6259
296,735668,137.1898,135.6584,5709890,134.91,137.6829
297,735669,135.1999,136.6793,4567346,135.1999,137.3195
298,735670,136.2294,133.4782,6064120,132.7168,136.2813
299,735673,134.1444,135.9007,3749638,133.9281,135.9093
300,735674,135.1393,135.7968,3311943,134.4212,136.0823
301,735675,135.7017,138.2626,5738827,134.7932,139.0326
302,735676,138.1674,138.2626,3878559,137.3974,139.2229
303,735677,139.2489,140.9186,9006417,138.7298,141.0225
304,735680,140.8235,142.4327,5930127,140.7889,143.0556
305,735681,142.5711,141.0225,4346145,140.9359,142.6576
306,735682,141.0917,137.7348,5428930,137.7348,141.0917
307,735683,137.7954,138.9374,4396024,137.4839,139.5084
308,735684,139.1104,138.773,3477923,137.7608,139.2056
309,735687,139.5603,140.737,4138018,139.5084,141.5416
310,735688,139.3613,138.8595,4255368,138.773,140.4428
311,735689,138.6259,137.7175,3700791,137.034,138.9634
312,735690,138.0117,138.8163,4671578,137.4666,140.6245
313,735694,138.1588,140.1919,3465682,137.304,140.8494
314,735695,139.8718,140.2179,3147975,139.8285,141.7492
